step, error
700, 0.00216893
701, 0.00216373
702, 0.00215852
703, 0.00215323
704, 0.00214784
705, 0.00214241
706, 0.00213703
707, 0.00213174
708, 0.00212652
709, 0.00212136
710, 0.00211622
711, 0.00211105
712, 0.00210586
713, 0.00210066
714, 0.00209546
715, 0.00209028
716, 0.00208513
717, 0.00208001
718, 0.00207493
719, 0.00206987
720, 0.00206483
721, 0.00205981
722, 0.00205481
723, 0.00204981
724, 0.00204482
725, 0.00203985
726, 0.00203489
727, 0.00202995
728, 0.00202503
729, 0.00202013
730, 0.00201525
731, 0.0020104
732, 0.00200559
733, 0.00200083
734, 0.00199613
735, 0.00199154
736, 0.0019871
737, 0.00198294
738, 0.00197918
739, 0.0019762
740, 0.00197444
741, 0.00197517
742, 0.00197979
743, 0.00199296
744, 0.00201863
745, 0.00207479
746, 0.00216634
747, 0.00235795
748, 0.00258999
749, 0.00301839
750, 0.0031274
751, 0.00316502
752, 0.00248765
753, 0.00199531
754, 0.00199958
755, 0.00232431
756, 0.002478
757, 0.00212834
758, 0.00191477
759, 0.00205278
760, 0.0021944
761, 0.00210762
762, 0.00190426
763, 0.00194433
764, 0.00208758
765, 0.0020198
766, 0.00189076
767, 0.00188659
768, 0.00196384
769, 0.00197387
770, 0.00188652
771, 0.00184677
772, 0.00189334
773, 0.00191848
774, 0.00187535
775, 0.00182657
776, 0.00183831
777, 0.00186911
778, 0.00185693
779, 0.00182013
780, 0.00180338
781, 0.00181889
782, 0.00183073
783, 0.00181304
784, 0.00178883
785, 0.00178382
786, 0.00179296
787, 0.00179544
788, 0.00178294
789, 0.00176718
790, 0.00176167
791, 0.00176575
792, 0.00176693
793, 0.00175883
794, 0.0017476
795, 0.0017408
796, 0.00174004
797, 0.00174055
798, 0.00173707
799, 0.00172952
800, 0.00172185
801, 0.00171756
802, 0.00171583
803, 0.00171419
804, 0.00171066
805, 0.00170494
806, 0.00169898
807, 0.00169442
808, 0.00169142
809, 0.00168896
810, 0.00168594
811, 0.00168193
812, 0.00167711
813, 0.00167241
814, 0.00166837
815, 0.00166498
816, 0.00166192
817, 0.00165875
818, 0.0016552
819, 0.00165124
820, 0.00164712
821, 0.0016431
822, 0.00163929
823, 0.00163576
824, 0.00163241
