reference,ssim,mse,trial
532_orig.png,532_kriz_ssim_fc.png,532_kriz_mse_fc.png,6
534_orig.png,534_kriz_ssim_fc.png,534_kriz_mse_fc.png,6
554_orig.png,554_kriz_ssim_fc.png,554_kriz_mse_fc.png,6
560_orig.png,560_kriz_ssim_fc.png,560_kriz_mse_fc.png,6
570_orig.png,570_kriz_ssim_fc.png,570_kriz_mse_fc.png,7
575_orig.png,575_kriz_ssim_fc.png,575_kriz_mse_fc.png,7
576_orig.png,576_kriz_ssim_fc.png,576_kriz_mse_fc.png,7
607_orig.png,607_kriz_ssim_fc.png,607_kriz_mse_fc.png,7
614_orig.png,614_kriz_ssim_fc.png,614_kriz_mse_fc.png,7
641_orig.png,641_kriz_ssim_fc.png,641_kriz_mse_fc.png,7
644_orig.png,644_kriz_ssim_fc.png,644_kriz_mse_fc.png,7
658_orig.png,658_kriz_ssim_fc.png,658_kriz_mse_fc.png,7
667_orig.png,667_kriz_ssim_fc.png,667_kriz_mse_fc.png,7
685_orig.png,685_kriz_ssim_fc.png,685_kriz_mse_fc.png,7
693_orig.png,693_kriz_ssim_fc.png,693_kriz_mse_fc.png,8
705_orig.png,705_kriz_ssim_fc.png,705_kriz_mse_fc.png,8
706_orig.png,706_kriz_ssim_fc.png,706_kriz_mse_fc.png,8
718_orig.png,718_kriz_ssim_fc.png,718_kriz_mse_fc.png,8
725_orig.png,725_kriz_ssim_fc.png,725_kriz_mse_fc.png,8
734_orig.png,734_kriz_ssim_fc.png,734_kriz_mse_fc.png,8
738_orig.png,738_kriz_ssim_fc.png,738_kriz_mse_fc.png,8
742_orig.png,742_kriz_ssim_fc.png,742_kriz_mse_fc.png,8
750_orig.png,750_kriz_ssim_fc.png,750_kriz_mse_fc.png,8
771_orig.png,771_kriz_ssim_fc.png,771_kriz_mse_fc.png,8
800_orig.png,800_kriz_ssim_fc.png,800_kriz_mse_fc.png,9
801_orig.png,801_kriz_ssim_fc.png,801_kriz_mse_fc.png,9
806_orig.png,806_kriz_ssim_fc.png,806_kriz_mse_fc.png,9
822_orig.png,822_kriz_ssim_fc.png,822_kriz_mse_fc.png,9
855_orig.png,855_kriz_ssim_fc.png,855_kriz_mse_fc.png,9
864_orig.png,864_kriz_ssim_fc.png,864_kriz_mse_fc.png,9
868_orig.png,868_kriz_ssim_fc.png,868_kriz_mse_fc.png,9
873_orig.png,873_kriz_ssim_fc.png,873_kriz_mse_fc.png,9
882_orig.png,882_kriz_ssim_fc.png,882_kriz_mse_fc.png,9
892_orig.png,892_kriz_ssim_fc.png,892_kriz_mse_fc.png,9
893_orig.png,893_kriz_ssim_fc.png,893_kriz_mse_fc.png,10
897_orig.png,897_kriz_ssim_fc.png,897_kriz_mse_fc.png,10
899_orig.png,899_kriz_ssim_fc.png,899_kriz_mse_fc.png,10
910_orig.png,910_kriz_ssim_fc.png,910_kriz_mse_fc.png,10
912_orig.png,912_kriz_ssim_fc.png,912_kriz_mse_fc.png,10
934_orig.png,934_kriz_ssim_fc.png,934_kriz_mse_fc.png,10
936_orig.png,936_kriz_ssim_fc.png,936_kriz_mse_fc.png,10
949_orig.png,949_kriz_ssim_fc.png,949_kriz_mse_fc.png,10
972_orig.png,972_kriz_ssim_fc.png,972_kriz_mse_fc.png,10
979_orig.png,979_kriz_ssim_fc.png,979_kriz_mse_fc.png,10
980_orig.png,980_kriz_ssim_fc.png,980_kriz_mse_fc.png,11
985_orig.png,985_kriz_ssim_fc.png,985_kriz_mse_fc.png,11
989_orig.png,989_kriz_ssim_fc.png,989_kriz_mse_fc.png,11
1002_orig.png,1002_kriz_ssim_fc.png,1002_kriz_mse_fc.png,11
1015_orig.png,1015_kriz_ssim_fc.png,1015_kriz_mse_fc.png,11
1024_orig.png,1024_kriz_ssim_fc.png,1024_kriz_mse_fc.png,11
1028_orig.png,1028_kriz_ssim_fc.png,1028_kriz_mse_fc.png,11
1042_orig.png,1042_kriz_ssim_fc.png,1042_kriz_mse_fc.png,11
1057_orig.png,1057_kriz_ssim_fc.png,1057_kriz_mse_fc.png,11
1059_orig.png,1059_kriz_ssim_fc.png,1059_kriz_mse_fc.png,11
1074_orig.png,1074_kriz_ssim_fc.png,1074_kriz_mse_fc.png,12
1105_orig.png,1105_kriz_ssim_fc.png,1105_kriz_mse_fc.png,12
1110_orig.png,1110_kriz_ssim_fc.png,1110_kriz_mse_fc.png,12
1137_orig.png,1137_kriz_ssim_fc.png,1137_kriz_mse_fc.png,12
1141_orig.png,1141_kriz_ssim_fc.png,1141_kriz_mse_fc.png,12
1157_orig.png,1157_kriz_ssim_fc.png,1157_kriz_mse_fc.png,12
1202_orig.png,1202_kriz_ssim_fc.png,1202_kriz_mse_fc.png,12
